IdSkill,id,Skill,Nombre,TipoSkill
calidad,C1A95F71CE5D8A9161373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,27EE668283E8ABDE61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,8F6B72CAD1CCD97661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,33594F768864E15E61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,FC2DDB61308D3E6161373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,9304BEDBBCE81B3861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,67824102D3BF9C1961373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,D007E545EFF1C29961373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,738F583F816CF1D161373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,DFAA78586C82FECE61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,B82FA028EE70501561373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,94E04D3A2346144C61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,FC63D60B9534632A61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,D05233B78827FD9361373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,234D7A4694AA75B361373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,AE1F8C44B5AA10D961373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,9EFB1D7623BDB62A61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,C7D22942753BDD1461373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,B5D0024CCA281C8561373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,3D83F034E9701C0B61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,E2FB1AD131A144DF61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,27DB05A8F1135BC261373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,1FB19F6D6E33198561373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,F1B39C83BE2399D261373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,120BCFCE01D8E5F861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,C099E22B8D567B0F61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,EBE7310965E0DAF861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,F5BF20987C2F9C7761373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,70BA333CE9DB1E8C61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,DE9E78E94823CC0261373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,53852D1861C7E33661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,32720E6D705AFBE661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,B9ED9A253308BC1E61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,0130E03E3121E39F61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,7B3DB5CDD49B7AAB61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,71DA6DD85488FF6E61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,87C99CB3120055F061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,FAAE6566FA123BFD61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,6BBF335BFC428AC761373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,3A68E0CCDF5B041861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,17AD9B4CA6426FD261373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,BF1008DE60DEB57A61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,6106D9B9743124BD61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,F9C01B32D50E30A861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,1F759746E78B9B5B61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,C3603B6A572351D861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,DCAD592965A94BF061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,A0AEEED1BF81064B61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,8CD3C27E50E990AC61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,3D43C942945A4BC461373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,7D621BE08E4FEDDA61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,DB7A53C14F97B84061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,4DF7E3CCA14D4A8D61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,B772C009ED9B813861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,973E85EF6802F8FE61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,3B4DA50E2403F7F661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,6CB048FC974390CA61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,AE9DEDC6BD54E02961373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,9893D5A46685E41761373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,59ACA6DE41FBA12E61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,99FFD93C2708418061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,D8BE5B73EAA6793C61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,095C2B854D09C0A061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,05D97748CF75AF2F61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,5E5E721ACF20E58E61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,EB526D0BEECA107561373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,FB55A77C424872C461373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,95AA12B3B5A7BF7261373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,72C1255F4724C83A61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,7B6865250301B3B661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,32E3D8AD26E5483161373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,6810E8DBCE4B2F0C61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,CD5F0A21DB985FFC61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,CB4220CD8965B3C461373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,882F29C697AE975861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,D85EF11F5A5926B261373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,6F0C7AB97FFCCB0861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,F16C7D8E0EAD868A61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,52716471CD8115D361373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,278B9B891C8D59A061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,E8DB1A97BCFE6E2161373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,F9A0137E0770E32061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,38DDDC9B4147022261373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,1EA23FEE9CCE8AE661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,A5269E0E90E29A2561373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,BB6E98612FAB387361373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,D66DB75A87E6208261373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,444322612733A5CE61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,C28764BC1F75434061373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,056FA56B228E562661373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,0099B5C27B6B492C61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,A0C8352B8B091C2861373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,16DA5BF639B31CDA61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,7CCA6D5E1B69731F61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,14FAA3B69067695B61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,55E07AD68936629761373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,761E9273972FFC0E61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,412EF185DA113F2161373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,E36F2F68B6DD93AE61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,6FD6895F23AB2D8961373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,338048A82351CE5A61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,4EE4F0E445B1487E61373E686DCF3405,calidad,Calidad/QA,HardSkill
calidad,1116463250,calidad,Calidad/QA,HardSkill
